08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 20.44.10.122.,42284, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 20.44.10.122.,42284, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 20.44.10.122., 10.0.2.10.,443, 42284

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 20.44.10.122., 10.0.2.10.,443, 42284

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 20.44.10.122., 10.0.2.10.,443, 42284

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 20.44.10.122., 10.0.2.10.,443, 42284

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 20.44.10.122.,42284, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 20.44.10.122.,42284, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 20.44.10.122., 10.0.2.10.,443, 42284

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 192.229.232.200.,51148, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 117.18.232.200.,41056, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 192.229.232.200., 10.0.2.10.,443, 51148

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 117.18.232.200., 10.0.2.10.,443, 41056

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,49529, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,49529, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,37121, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,43652, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,43652, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 49529

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 37121

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 49529

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,36515, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,36515, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 142.251.42.78.,42928, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,35578, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,35578, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 35578

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 43652

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 43652

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.206.131.,32954, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 36515

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 142.250.194.132.,36490, 443

52:54:00:12:35:02:, 08:00:27:32:1e:62:,TCP, 142.250.194.132., 10.0.2.10.,443, 36490

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,47915, 53

08:00:27:32:1e:62:, 52:54:00:12:35:02:,UDP, 10.0.2.10., 192.168.145.59.,47915, 53

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 36515

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 35578

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 47915

52:54:00:12:35:02:, 08:00:27:32:1e:62:,UDP, 192.168.145.59., 10.0.2.10.,53, 47915

08:00:27:32:1e:62:, 52:54:00:12:35:02:,TCP, 10.0.2.10., 172.217.27.163.,54154, 443

